Date : 2023-07-11 17:00:05
Directory : e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer
Total : 826 files,  216851 codes, 24557 comments, 23135 blanks, all 264543 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| C#         |        674 |     84,319 |     22,375 |     19,764 |    126,458 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.uxcomponents.noncanvas\LICENSE.md                                                           | Markdown   |         17 |          0 |          5 |         22 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.uxcomponents.noncanvas\Tests\Runtime\AssemblyInfo.cs                                        | C#         |          4 |          5 |          4 |         13 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.uxcomponents.noncanvas\Tests\Runtime\DialogTests.cs                                         | C#         |        231 |         62 |         70 |        363 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.uxcomponents.noncanvas\Tests\Runtime\PressableButtonTests.cs                                | C#         |        409 |        250 |        187 |        846 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.uxcomponents.noncanvas\Tests\Runtime\SeeItSayItNoncanvasTests.cs                            | C#         |         83 |         16 |         22 |        121 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.uxcomponents.noncanvas\Tests\Runtime\SliderTests.cs                                         | C#         |        367 |        158 |        157 |        682 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.uxcomponents.noncanvas\Theming\ProfileTemplates\ControlThemes\ButtonTheme.cs                | C#         |         61 |         11 |         15 |         87 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.uxcomponents.noncanvas\Theming\ProfileTemplates\ControlThemes\CommonTheme.cs                | C#         |         16 |          2 |          3 |         21 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.uxcomponents.noncanvas\Theming\ProfileTemplates\ControlThemes\DialogTheme.cs                | C#         |         13 |          9 |          4 |         26 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.uxcomponents.noncanvas\Theming\ProfileTemplates\ControlThemes\HandMenuTheme.cs              | C#         |         13 |          9 |          3 |         25 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.uxcomponents.noncanvas\Theming\ProfileTemplates\ControlThemes\ListMenuTheme.cs              | C#         |         13 |          9 |          3 |         25 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.uxcomponents.noncanvas\Theming\ProfileTemplates\ControlThemes\ObjectBarTheme.cs             | C#         |         13 |          9 |          5 |         27 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.uxcomponents.noncanvas\Theming\ProfileTemplates\ControlThemes\SlateTheme.cs                 | C#         |         21 |          9 |          5 |         35 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.uxcomponents.noncanvas\Theming\ProfileTemplates\ControlThemes\SliderTheme.cs                | C#         |         25 |          9 |          7 |         41 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.uxcomponents.noncanvas\Theming\ProfileTemplates\ControlThemes\SpriteSetTheme.cs             | C#         |         51 |         10 |         13 |         74 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.uxcomponents.noncanvas\Theming\ProfileTemplates\ControlThemes\ToggleTheme.cs                | C#         |         21 |          9 |          5 |         35 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.uxcomponents.noncanvas\Theming\ProfileTemplates\UXThemeProfile.cs                           | C#         |         43 |         28 |         12 |         83 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.uxcomponents.noncanvas\package.json                                                         | JSON       |         28 |          0 |          0 |         28 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.uxcomponents\AssemblyInfo.cs                                                                | C#         |          6 |          5 |          5 |         16 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.uxcomponents\Button\Prefabs\README.md                                                       | Markdown   |          8 |          0 |          7 |         15 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.uxcomponents\Editor\AssemblyInfo.cs                                                         | C#         |          4 |          5 |          4 |         13 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.uxcomponents\Editor\CreateElementMenus.cs                                                   | C#         |        165 |         35 |         56 |        256 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.uxcomponents\LICENSE.md                                                                     | Markdown   |         17 |          0 |          5 |         22 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.uxcomponents\Tests\Runtime\AssemblyInfo.cs                                                  | C#         |          4 |          5 |          4 |         13 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.uxcomponents\Tests\Runtime\CanvasDialogTests.cs                                             | C#         |        231 |         62 |         70 |        363 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.uxcomponents\Tests\Runtime\NonNativeKeyboardTests.cs                                        | C#         |        378 |          9 |         77 |        464 |
